No,소속구분,소속,직위,성명,재산구분,본인과의 관계,재산의 종류,소재지 면적 등 권리의 명세,종전가액,증가액,증가액실거래가격,감소액,감소액실거래가격,현재가액,변동사유
1,1.국회의원,국회,국회의장,정의화,토지,본인,답,부산광역시 동래구 안락동 758-21번지 185.00㎡,"193,325","26,270 ",,0 ,,"219,595",가액변동
2,1.국회의원,국회,국회의장,정의화,토지,본인,임야,"부산광역시 남구 감만1동 산 36-2번지 6,174.00㎡","1,389,150","92,610 ",,0 ,,"1,481,760",가액변동
3,1.국회의원,국회,국회의장,정의화,토지,본인,임야,"부산광역시 기장군 정관면 임곡리 산 35번지 59,504.00㎡","135,669","4,165 ",,0 ,,"139,834",가액변동
4,1.국회의원,국회,국회의장,정의화,토지,본인,답,"부산광역시 기장군 정관면 임곡리 326번지 3,795.00㎡","178,744","13,662 ",,0 ,,"192,406",가액변동
5,1.국회의원,국회,국회의장,정의화,토지,본인,답,경상남도 창원시 진해구 소사동 150-5번지 645.00㎡,"114,681","1,677 ",,0 ,,"116,358",가액변동
6,1.국회의원,국회,국회의장,정의화,토지,본인,대지,"경상남도 창원시 진해구 소사동 150-3,4번지 848.00㎡","304,686",0 ,,"303,099 ",,"1,587",가액변동
7,1.국회의원,국회,국회의장,정의화,토지,본인,대지,"부산광역시 동구 수정동 374-36번지 0.00㎡ 중 0.00㎡ (총면적
76.00㎡ 감소, 지분면적 13.81㎡감소)","15,467",0 ,,"15,467 ",,0,번지수(수정동374-19)통합
8,1.국회의원,국회,국회의장,정의화,토지,본인,대지,부산광역시 동래구 안락동 756-15번지 879.00㎡,"1,086,444","405,219 ",,0 ,,"1,491,663",가액변동
9,1.국회의원,국회,국회의장,정의화,토지,본인,대지,부산광역시 동래구 안락동 756-49번지 118.00㎡,"158,002","42,244 ",,0 ,,"200,246",가액변동
10,1.국회의원,국회,국회의장,정의화,토지,본인,대지,부산광역시 동래구 안락동 756-56번지 82.00㎡,"101,352","37,802 ",,0 ,,"139,154",가액변동
11,1.국회의원,국회,국회의장,정의화,토지,본인,대지,부산광역시 동래구 안락동 756-59번지 142.00㎡,"181,050","59,924 ",,0 ,,"240,974",가액변동
12,1.국회의원,국회,국회의장,정의화,토지,본인,대지,부산광역시 동래구 안락동 758-1번지 200.00㎡,"258,800","80,600 ",,0 ,,"339,400",가액변동
13,1.국회의원,국회,국회의장,정의화,토지,본인,대지,부산광역시 동래구 안락1동 768-7번지 73.00㎡,"120,377","11,826 ",,0 ,,"132,203",가액변동
14,1.국회의원,국회,국회의장,정의화,토지,배우자,답,부산광역시 동래구 안락동 758-20번지 159.00㎡,"169,335","23,214 ",,0 ,,"192,549",가액변동
15,1.국회의원,국회,국회의장,정의화,토지,배우자,임야,"경상남도 김해시 삼방동 산 117-1번지 315,369.00㎡","1,384,469","59,921 ",,0 ,,"1,444,390",가액변동
16,1.국회의원,국회,국회의장,정의화,토지,배우자,대지,부산광역시 수영구 남천동 51-11번지 221.20㎡,"184,702","14,378 ",,0 ,,"199,080",가액변동
17,1.국회의원,국회,국회의장,정의화,건물,본인,기타,부산광역시 동래구 안락1동 건물 738.78㎡,"245,345",0 ,,0 ,,"245,345",변동사항없음
18,1.국회의원,국회,국회의장,정의화,건물,본인,의료시설,"부산광역시 동래구 안락1동 대지 1,763.00㎡ 건물 7,384.00㎡","5,494,256","104,498 ",,0 ,,"5,598,754",가액변동
19,1.국회의원,국회,국회의장,정의화,건물,본인,의료시설,"부산광역시 동래구 안락1동 대지 404.00㎡ 건물 1,460.00㎡","1,160,237","72,352 ",,0 ,,"1,232,589",가액변동
20,1.국회의원,국회,국회의장,정의화,건물,본인,의료시설,"부산광역시 동래구 안락1동 대지 933.00㎡ 건물 2,818.96㎡","3,540,644","98,182 ",,0 ,,"3,638,826",가액변동
21,1.국회의원,국회,국회의장,정의화,건물,본인,"사무실
전세(임차)권",부산광역시 중구 대창동2가 건물 211.20㎡,"30,000",0 ,,0 ,,"30,000",변동사항없음
22,1.국회의원,국회,국회의장,정의화,건물,본인,상가,부산광역시 동래구 안락동 대지 519.00㎡ 건물 493.88㎡,"1,039,594","137,848 ",,0 ,,"1,177,442",가액변동
23,1.국회의원,국회,국회의장,정의화,건물,본인,단독주택,부산광역시 동구 수정동 건물 0.00㎡ (건물 0.00㎡ 감소),0,0 ,,0 ,,0,오기정정으로 인한 변경처리
24,1.국회의원,국회,국회의장,정의화,건물,본인,단독주택,[오기정정]부산광역시 동구 수정동 대지 199.60㎡건물 165.30㎡ (대지 76.00㎡ 증가),"204,000","1,000 ",,0 ,,"205,000","오기정정(변경전: 부산광역시 동구 수정동), 가액변동, 공동
주택으로 인한 대지면적 증가"
25,1.국회의원,국회,국회의장,정의화,건물,배우자,아파트,서울특별시 강서구 마곡동 벽산아파트 건물 84.97㎡,"243,000",0 ,,"8,000 ",,"235,000",가액변동
26,1.국회의원,국회,국회의장,정의화,건물,배우자,기타,부산광역시 동래구 안락동 대지 251.00㎡ 건물 846.08㎡,"1,071,133",0 ,,"40,595 ",,"1,030,538",가액변동
27,1.국회의원,국회,국회의장,정의화,건물,배우자,단독주택,부산광역시 수영구 남천1동 대지 903.00㎡ 건물 414.00㎡,"749,000","61,000 ",,0 ,,"810,000",가액변동
28,1.국회의원,국회,국회의장,정의화,건물,배우자,빌딩,부산광역시 동구 초량동 대지 695.00㎡ 건물 0.00㎡,"1,118,950","20,155 ",,0 ,,"1,139,105",가액변동
29,1.국회의원,국회,국회의장,정의화,건물,배우자,아파트,S Manhattan PL.LA CA 90005 U.S.A 건물 843.00㎡중 421.00㎡,"471,466",0 ,,"178,466 ",,"293,000",공유지분 가액변동
30,1.국회의원,국회,국회의장,정의화,건물,배우자,상가,부산광역시 동래구 안락동 대지 244.00㎡ 건물 146.04㎡,"385,168","54,449 ",,0 ,,"439,617",가액변동
31,1.국회의원,국회,국회의장,정의화,부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기,본인,자동차,"2004년식 뉴아반떼XD 배기량(1,400cc)","4,520",0 ,,720 ,,"3,800",가액변동
32,1.국회의원,국회,국회의장,정의화,부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기,본인,자동차,"2013년식 그랜저 배기량(3,300cc)","36,750",0 ,,"8,430 ",,"28,320",가액변동
33,1.국회의원,국회,국회의장,정의화,부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기,본인,자동차,"2002년식 오텍프래지오일반구급차 배기량(2,957cc)","1,500",,,,,"1,500",변동사항없음
34,1.국회의원,국회,국회의장,정의화,예금,본인,,"미래에셋생명보험 111,022, 현대캐피탈 8,964, 부산은행 1,452,950 (103,242 증가), 삼성생명보험 126,730, 외환은행 61,101(36,800
증가), 중소기업은행 100, 우리은행 1,536,680(518,844 증가), 신한은행 177(177 증가), 좌천 0(38 감소), 농협은행 44,841(30,890 증가), Chase Manhattan 98,157(37,957 증가), 한화투자증권 1, AIA생명보험 200,000, 씨티은행 138,986(14,360 증가), 메트라이프 생명보험 200,000, 국민은행 34,686(25,848 감소), 농협중앙회 490(1 증가), 경남은행 28,666(12,506 증가), 하나은행 24(4 감소), 라이나생명보험 96,131(18,131 증가), 한국투자증권 131,111(40,151 증가), PCA생명보험 200,000, SK증권 1,
비엔케이캐피탈(주) 92,181(28,480 감소)","3,804,310","1,910,593 ",,"1,151,904 ",,"4,562,999","적금만기 및 신규계좌 발생 등 금액변동, 일부계좌 정치자금항목으로 이동"
35,1.국회의원,국회,국회의장,정의화,예금,배우자,,"대청 17, PCA생명보험 35,100(3,000 증가), 하나은행 280,535 (7,653 감소), 국민은행 113,843(20,787 증가), 디지비생명보험 323,300(8,400 증가), 삼성생명보험 1,154,633(18,318 증가), 신한
은행 4,023(3,379 감소), 씨티은행 108,304(14,043 감소), 롯데손해 보험 40,000(24,000 증가), 한화생명보험 62,027(12,000 증가),
영주동 21,711(2 증가), 대우증권 3, 우리은행 5,393(3,969 증가), 농협은행 246(217 증가), 하나생명보험 50,000, 교보생명보험 1,443, 라이나생명보험0(300,000 감소), 부산은행 11,264(6,920 감소)","2,453,144","446,595 ",,"687,897 ",,"2,211,842",
