NO,소속,직위,성명,소속,선거구,재선여부,종전가액,"증가액
(실거래가격)","감소액
(실거래가격)",현재가액,증감액,가액변동
1,국회,국회의장,우원식,무소속,서울 노원구갑,5선,"2,632,394","197,972","-30,501","2,860,867","228,473","19,615"
2,국회,국회부의장,이학영,더불어민주당,경기 군포시,4선,"1,700,736","502,520","299,916","1,903,340","202,604","-6,852"
3,국회,국회부의장,주호영,국민의힘,대구 수성구갑,6선,"4,201,851","1,075,082","46,283","5,230,650","1,028,799","846,052"
4,국회,국회의원,강경숙,조국혁신당,비례대표,초선,"2,415,937","637,463","470,913","2,582,487","166,550",776
5,국회,국회의원,강대식,국민의힘,대구 동구군위군을,재선,"911,163","418,196","205,159","1,124,200","213,037","9,874"
6,국회,국회의원,강득구,더불어민주당,경기 안양시만안구,재선,"1,364,369","613,460","386,430","1,591,399","227,030","-9,000"
7,국회,국회의원,강명구,국민의힘,경북 구미시을,초선,"196,079","270,228","14,587","451,720","255,641","-2,020"
8,국회,국회의원,강민국,국민의힘,경남 진주시을,재선,"1,772,335","208,422","-5,340","1,986,097","213,762","6,847"
9,국회,국회의원,강선영,국민의힘,비례대표,초선,"1,082,175","141,615","88,516","1,135,274","53,099","-1,540"
10,국회,국회의원,강선우,무소속,서울 강서구갑,재선,"285,236","-89,702","-168,957","364,491","79,255","74,800"
11,국회,국회의원,강승규,국민의힘,충남 홍성군예산군,재선,"2,007,688","350,924",-426,"2,359,038","351,350","222,757"
12,국회,국회의원,강준현,더불어민주당,세종특별자치시을,재선,"1,637,569","354,449","198,824","1,793,194","155,625","3,431"
13,국회,국회의원,고동진,국민의힘,서울 강남구병,초선,"31,674,120","7,308,732","1,623,096","37,359,756","5,685,636","890,190"
14,국회,국회의원,고민정,더불어민주당,서울 광진구을,재선,"978,008","114,269","73,721","1,018,556","40,548","-17,130"
15,국회,국회의원,곽규택,국민의힘,부산 서구동구,초선,"1,081,528","671,350","681,086","1,071,792","-9,736","255,173"
16,국회,국회의원,곽상언,더불어민주당,서울 종로구,초선,"1,781,778","508,568","152,740","2,137,606","355,828","72,000"
17,국회,국회의원,구자근,국민의힘,경북 구미시갑,재선,"745,153","121,964","79,277","787,840","42,687","-8,770"
18,국회,국회의원,권영세,국민의힘,서울 용산구,5선,"4,577,924","507,827","515,977","4,569,774","-8,150","65,670"
19,국회,국회의원,권영진,국민의힘,대구 달서구병,재선,"2,132,960","803,313","618,858","2,317,415","184,455","56,377"
20,국회,국회의원,권칠승,더불어민주당,경기 화성시병,3선,"753,533","253,289","104,724","902,098","148,565","-1,900"
21,국회,국회의원,권향엽,더불어민주당,전남 순천시광양시곡성군구례군을,초선,"275,596","138,556","49,856","364,296","88,700",-1
22,국회,국회의원,김건,국민의힘,비례대표,초선,"2,593,901","804,028","393,300","3,004,629","410,728","234,884"
23,국회,국회의원,김교흥,더불어민주당,인천 서구갑,3선,"1,051,585","363,437","121,708","1,293,314","241,729","21,523"
24,국회,국회의원,김기웅,국민의힘,대구 중구남구,초선,"1,605,719","304,513","94,935","1,815,297","209,578",-270
25,국회,국회의원,김기표,더불어민주당,경기 부천시을,초선,"2,967,847","137,672","-26,902","3,132,421","164,574",-469
26,국회,국회의원,김기현,국민의힘,울산 남구을,5선,"6,909,308","85,371","-76,881","7,071,560","162,252","24,455"
27,국회,국회의원,김남근,더불어민주당,서울 성북구을,초선,"4,614,657","1,309,007","695,864","5,227,800","613,143","11,085"
28,국회,국회의원,김남희,더불어민주당,경기 광명시을,초선,"2,604,640","404,703","174,864","2,834,479","229,839","-1,709"
29,국회,국회의원,김대식,국민의힘,부산 사상구,초선,"3,545,747","443,041","1,151,964","2,836,824","-708,923","17,095"
30,국회,국회의원,김도읍,국민의힘,부산 강서구,4선,"5,069,713","628,532","187,327","5,510,918","441,205","187,618"
31,국회,국회의원,김동아,더불어민주당,서울 서대문구갑,초선,"1,543,836","787,598","573,582","1,757,852","214,016",-310
32,국회,국회의원,김문수,더불어민주당,전남 순천시광양시곡성군구례군갑,초선,"289,175","72,596","-18,725","380,496","91,321","26,961"
33,국회,국회의원,김미애,국민의힘,부산 해운대구을,재선,"2,576,424","758,149","628,852","2,705,721","129,297","-10,159"
34,국회,국회의원,김민전,국민의힘,비례대표,초선,"1,619,318","253,563","79,554","1,793,327","174,009","150,990"
35,국회,국회의원,김병기,무소속,서울 동작구갑,3선,"3,544,029","1,349,128","923,975","3,969,182","425,153","232,331"
36,국회,국회의원,김병주,더불어민주당,경기 남양주시을,재선,"1,244,340","480,712","187,741","1,537,311","292,971","32,300"
37,국회,국회의원,김상욱,더불어민주당,울산 남구갑,초선,"1,824,818","1,609,203","1,488,603","1,945,418","120,600",0
38,국회,국회의원,김상훈,국민의힘,대구 서구,4선,"1,260,991","108,307","-12,050","1,381,348","120,357","-10,918"
39,국회,국회의원,김석기,국민의힘,경북 경주시,3선,"1,788,429","928,639","592,541","2,124,527","336,098","34,761"
40,국회,국회의원,김선교,국민의힘,경기 여주시양평군,재선,"709,423","536,283","55,032","1,190,674","481,251","-4,385"
41,국회,국회의원,김선민,조국혁신당,비례대표,초선,"1,562,912","638,593","209,555","1,991,950","429,038","-3,250"
42,국회,국회의원,김성원,국민의힘,경기 동두천시양주시연천군을,3선,"969,243","162,278","-18,256","1,149,777","180,534","47,120"
43,국회,국회의원,김성회,더불어민주당,경기 고양시갑,초선,"501,471","292,337","53,676","740,132","238,661","44,419"
44,국회,국회의원,김소희,국민의힘,비례대표,초선,"1,170,565","571,016","282,400","1,459,181","288,616","2,198"
45,국회,국회의원,김승수,국민의힘,대구 북구을,재선,"2,136,799","454,885","546,285","2,045,399","-91,400","-39,255"
46,국회,국회의원,김승원,더불어민주당,경기 수원시갑,재선,"521,861","192,072","-219,391","933,324","411,463","10,038"
47,국회,국회의원,김영배,더불어민주당,서울 성북구갑,재선,"1,122,751","295,448","71,341","1,346,858","224,107","-8,414"
48,국회,국회의원,김영진,더불어민주당,경기 수원시병,3선,"1,182,853","219,343","178,653","1,223,543","40,690",876
49,국회,국회의원,김영호,더불어민주당,서울 서대문구을,3선,"1,314,194","84,987","95,241","1,303,940","-10,254","6,761"
50,국회,국회의원,김영환,더불어민주당,경기 고양시정,초선,"1,676,685","801,855","587,568","1,890,972","214,287","-21,432"
51,국회,국회의원,김예지,국민의힘,비례대표,재선,"950,788","1,096,006","739,414","1,307,380","356,592",0
52,국회,국회의원,김용만,더불어민주당,경기 하남시을,초선,"300,015","3,562","18,807","284,770","-15,245",102
53,국회,국회의원,김용민,더불어민주당,경기 남양주시병,재선,"961,446","446,987","402,331","1,006,102","44,656","-12,330"
54,국회,국회의원,김용태,국민의힘,경기 포천시가평군,초선,"1,809,255","649,986","153,406","2,305,835","496,580","347,527"
55,국회,국회의원,김우영,더불어민주당,서울 은평구을,초선,"356,942","676,540","390,294","643,188","286,246",0
56,국회,국회의원,김원이,더불어민주당,전남 목포시,재선,"1,503,320","1,165,971","1,000,427","1,668,864","165,544","-15,050"
57,국회,국회의원,김위상,국민의힘,비례대표,초선,"1,835,585","56,263","8,298","1,883,550","47,965","4,462"
58,국회,국회의원,김윤,더불어민주당,비례대표,초선,"3,694,945","710,745","442,159","3,963,531","268,586","243,996"
59,국회,국회의원,김은혜,국민의힘,경기 성남시분당구을,재선,"27,392,391","4,527,546","2,483,869","29,436,068","2,043,677","703,644"
60,국회,국회의원,김장겸,국민의힘,비례대표,초선,"3,482,126","356,831","342,084","3,496,873","14,747","1,129"
61,국회,국회의원,김재섭,국민의힘,서울 도봉구갑,초선,"516,333","197,886","24,037","690,182","173,849","-4,678"
62,국회,국회의원,김재원,조국혁신당,비례대표,초선,"486,339","80,593",938,"565,994","79,655","11,780"
63,국회,국회의원,김정재,국민의힘,경북 포항시북구,3선,"1,009,962","477,655","350,679","1,136,938","126,976","16,682"
64,국회,국회의원,김정호,더불어민주당,경남 김해시을,3선,"849,943","796,266","460,946","1,185,263","335,320",-880
65,국회,국회의원,김종민,무소속,세종특별자치시갑,3선,"446,633","415,278","297,657","564,254","117,621",0
66,국회,국회의원,김종양,국민의힘,경남 창원시의창구,초선,"3,985,452","194,647","373,184","3,806,915","-178,537","-11,948"
67,국회,국회의원,김주영,더불어민주당,경기 김포시갑,재선,"3,557,386","452,708","403,641","3,606,453","49,067","24,809"
68,국회,국회의원,김준혁,더불어민주당,경기 수원시정,초선,"1,487,085","746,216","304,643","1,928,658","441,573","15,909"
69,국회,국회의원,김준형,조국혁신당,비례대표,초선,"772,119","405,803","235,803","942,119","170,000","-9,670"
70,국회,국회의원,김태년,더불어민주당,경기 성남시수정구,5선,"1,103,383","148,755","15,251","1,236,887","133,504","26,300"
71,국회,국회의원,김태선,더불어민주당,울산 동구,초선,"567,431","176,858","-25,906","770,195","202,764","-1,550"
72,국회,국회의원,김태호,국민의힘,경남 양산시을,4선,"1,639,650","20,595","142,733","1,517,512","-122,138","1,687"
73,국회,국회의원,김한규,더불어민주당,제주 제주시을,재선,"5,840,809","1,284,960","247,904","6,877,865","1,037,056","294,427"
74,국회,국회의원,김현,더불어민주당,경기 안산시을,재선,"768,313","154,665","-55,923","978,901","210,588",0
75,국회,국회의원,김현정,더불어민주당,경기 평택시병,초선,"3,245,377","1,031,027","542,980","3,733,424","488,047","142,495"
76,국회,국회의원,김형동,국민의힘,경북 안동시예천군,재선,"1,527,407","60,087","-105,809","1,693,303","165,896",498
77,국회,국회의원,김희정,국민의힘,부산 연제구,3선,"4,788,792","3,313,717","2,476,029","5,626,480","837,688","202,556"
78,국회,국회의원,나경원,국민의힘,서울 동작구을,5선,"5,953,678","3,739,901","1,790,743","7,902,836","1,949,158","368,762"
79,국회,국회의원,남인순,더불어민주당,서울 송파구병,4선,"608,914","177,517","77,503","708,928","100,014",150
80,국회,국회의원,노종면,더불어민주당,인천 부평구갑,초선,"2,344,084","482,616","533,082","2,293,618","-50,466","-3,980"
81,국회,국회의원,맹성규,더불어민주당,인천 남동구갑,3선,"1,914,616","1,450,467","1,399,609","1,965,474","50,858",688
82,국회,국회의원,모경종,더불어민주당,인천 서구병,초선,"19,527","138,496","-12,131","170,154","150,627","4,708"
83,국회,국회의원,문금주,더불어민주당,전남 고흥군보성군장흥군강진군,초선,"1,530,694","765,751","527,522","1,768,923","238,229","5,142"
