연월,NO,monaCode,구분,소속,직위,이름,재산구분,본인과의 관계,재산의종류,소재지 면적 등 권리의 명세,종전가액,증가액,증가액실거래가격,감소액,감소액실거래가격,현재가액,변동사유
202503,1,XBT9550Q,1.국회의원,국회,국회의장,우원식,토지,본인,임야,"경기도 양평군 단월면 봉상리 산 102-1번지 18,471.00㎡","46,362",0,,554,,"45,808",가액변동
202503,2,XBT9550Q,1.국회의원,국회,국회의장,우원식,토지,본인,대지,충청남도 당진시 읍내동 1456번지 351.30㎡,"355,164","2,811",,0,,"357,975",가액변동
202503,3,XBT9550Q,1.국회의원,국회,국회의장,우원식,토지,본인,대지,충청남도 당진시 읍내동 1457번지 285.30㎡,"294,144",0,,570,,"293,574",가액변동
202503,4,XBT9550Q,1.국회의원,국회,국회의장,우원식,건물,본인,연립주택,서울특별시 노원구 하계1동 이코아빌 건물 146.69㎡,"350,000",0,,"2,000",,"348,000",가액변동
202503,5,XBT9550Q,1.국회의원,국회,국회의장,우원식,건물,본인,사무실(전세(임차)권),서울특별시 노원구 중계동 유경백화점 건물 0.00㎡ (건물150.83㎡ 감소),"40,000",0,,"40,000",,0,계약만료
202503,6,XBT9550Q,1.국회의원,국회,국회의장,우원식,건물,본인,근린생활시설(전세(임차)권),서울특별시 노원구 공릉동 무궁화빌딩 건물 109.90㎡(건물 109.90㎡ 증가),0,"30,000",,0,,"30,000",신규계약
202503,7,XBT9550Q,1.국회의원,국회,국회의장,우원식,건물,배우자,상가,서울특별시 노원구 중계동 건영아파트상가 대지 259.32㎡건물 370.60㎡,"1,350,136",0,,"17,168",,"1,332,968",가액변동
202503,8,XBT9550Q,1.국회의원,국회,국회의장,우원식,건물,배우자,사무실(전세(임차)권),서울특별시 노원구 중계본동 유경백화점 건물 49.00㎡,"10,000",0,,0,,"10,000",
202503,9,XBT9550Q,1.국회의원,국회,국회의장,우원식,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2016년식 올뉴카니발 R2.2 디젤9인승 프레스티지배기량(2,199cc)","11,250",0,,880,,"10,370",가액변동
202503,10,XBT9550Q,1.국회의원,국회,국회의장,우원식,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,배우자,자동차,"2016년식 투싼 TL디젤 1.7 Premium 2WD DCT배기량(1,685cc)","10,100",0,,900,,"9,200",가액변동
202503,11,XBT9550Q,1.국회의원,국회,국회의장,우원식,예금,본인,,"AIA생명보험주식회사 19,256(873 증가), 국민은행 160,783(101,949 증가), 농협은행 9,046(5,975 감소),삼성생명보험 6,126, 스탠다드차타드은행 362","98,726","103,903",,"7,056",,"195,573","급여 저축, 생활비 지출"
