연월,No,monaCode,구분,소속,직위,성명,정당(2026.02.26),재선횟수,위원회(2026.02.26),종전가액,증가액,감소액,현재가액,증감액,가액변동
202503,1,XBT9550Q,1.국회의원,국회,국회의장,우원식,무소속,5선,의장,"2,551,815","176,881","96,302","2,632,394","80,579","-19,261"
202503,2,K5F2023J,1.국회의원,국회,국회부의장,이학영,더불어민주당,4선,기후에너지환경노동위원회,"1,712,722","506,295","518,281","1,700,736","-11,986","-6,852"
202503,3,8SV6917G,1.국회의원,국회,국회부의장,주호영,국민의힘,6선,행정안전위원회,"4,006,554","260,707","65,410","4,201,851","195,297","-9,910"
202503,4,T2T8225E,1.국회의원,국회,국회의원,강경숙,조국혁신당,초선,교육위원회,"2,273,493","1,192,250","1,049,806","2,415,937","142,444",0
202503,5,L2I9861C,1.국회의원,국회,국회의원,강대식,국민의힘,재선,국방위원회,"682,875","562,161","333,873","911,163","228,288",0
202503,6,8P37634C,1.국회의원,국회,국회의원,강득구,더불어민주당,재선,"기후위기 특별위원회, 기후에너지환경노동위원회","1,290,388","198,025","124,044","1,364,369","73,981","-5,650"
202503,7,9901388T,1.국회의원,국회,국회의원,강명구,국민의힘,초선,"정무위원회, 대미투자특별법 처리를 위한 특별위원회","340,124","20,475","164,520","196,079","-144,045","-17,710"
202503,8,GX22581L,1.국회의원,국회,국회의원,강민국,국민의힘,재선,"정무위원회, 대미투자특별법 처리를 위한 특별위원회","1,584,157","1,017,914","829,736","1,772,335","188,178","-4,383"
202503,9,NQO7187X,1.국회의원,국회,국회의원,강선영,국민의힘,초선,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회","1,016,405","81,161","15,391","1,082,175","65,770","-3,100"
202503,10,MNZ4401T,1.국회의원,국회,국회의원,강선우,무소속,재선,외교통일위원회,"97,065","-14,455","-202,626","285,236","188,171","89,800"
202503,11,42K7317Y,1.국회의원,국회,국회의원,강승규,국민의힘,재선,"예산결산특별위원회, 대미투자특별법 처리를 위한 특별위원회, 산업통상자원중소벤처기업위원회","1,874,152","337,834","204,298","2,007,688","133,536","1,155"
202503,12,Q129715Y,1.국회의원,국회,국회의원,강유정,사퇴,초선,사퇴,"2,898,035","212,841","30,558","3,080,318","182,283",200
202503,13,5KV96424,1.국회의원,국회,국회의원,강준현,더불어민주당,재선,정무위원회,"1,559,356","523,938","445,725","1,637,569","78,213",-122
202503,14,TRE2429O,1.국회의원,국회,국회의원,강훈식,사퇴,3선,사퇴,"637,650","255,030","164,146","728,534","90,884","-2,407"
202503,15,HS39431V,1.국회의원,국회,국회의원,고동진,국민의힘,초선,행정안전위원회,"33,301,078","3,511,082","5,138,040","31,674,120","-1,626,958","-1,019,870"
202503,16,WCD5518S,1.국회의원,국회,국회의원,고민정,더불어민주당,재선,"교육위원회, 예산결산특별위원회","903,285","173,782","99,059","978,008","74,723",0
